,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.5,N/A,0.0,N/A,N/A,2.0,0.34,2.5,1.5,N/A,N/A,N/A,1.13
% of Poss.,11.8%,0.0%,5.9%,0.0%,0.0%,5.9%,41.2%,11.8%,23.5%,0.0%,0.0%,0.0%,17
Total FG%,50.0%,N/A,0.0%,N/A,N/A,100.0%,0.0%,100.0%,50.0%,N/A,N/A,N/A,46.2%
Shooting PPP,N/A,N/A,N/A,N/A,N/A,N/A,0.69,2.5,1.5,N/A,N/A,N/A,1.46
% of Shooting Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,20.0%,40.0%,0.0%,0.0%,0.0%,58.8% | 7
Shooting FG%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,50.0%,N/A,N/A,N/A,57.1%
Shooting 2pt Att.,0,0,0,0,0,0,0,1,0,0,0,0,1
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,100.0%
Shooting 3pt Att.,0,0,0,0,0,0,1,1,4,0,0,0,6
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,50.0%,N/A,N/A,N/A,50.0%
Passing PPP,1.5,N/A,0.0,N/A,N/A,2.0,0.0,N/A,N/A,N/A,N/A,N/A,0.71
% of Passing Poss.,28.6%,0.0%,14.3%,0.0%,0.0%,14.3%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,41.2% | 6
Passing FG%,50.0%,N/A,0.0%,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,33.3%
Passing 2pt Att.,2,0,0,0,0,1,0,0,0,0,0,0,3
Passing 2pt FG%,50.0%,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,66.7%
Passing 3pt Att.,0,0,1,0,0,0,2,0,0,0,0,0,3
Passing 3pt FG%,N/A,N/A,0.0%,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%
