,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ADAMS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
JACKSON,0.82,22.2%,0,25.0%,0.82,27.1%,0,25.0%,4,25.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
CLARKE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TILLMAN,1.0,22.7%,0,40.0%,1.67,16.7%,0,66.7%,1,100.0%,2,50.0%,0.0,50.0%,0,0.0%,2,0.0%,0,N/A
OTHERS,2.27,4.0%,0,N/A,2.27,4.9%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.5,9.1%,1,100.0%,1.5,11.1%,1,100.0%,0,N/A,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,1.25,18.2%,1,66.7%,1.67,16.7%,0,66.7%,1,100.0%,2,50.0%,0.0,25.0%,1,N/A,0,N/A,0,N/A
Attacking Closeouts,1.06,8.5%,0,0.0%,1.06,10.4%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,9.1%,0,0.0%,0.0,11.1%,0,0.0%,0,N/A,2,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,9.1%,1,0.0%,0.0,5.6%,1,N/A,0,N/A,0,N/A,0.0,25.0%,0,0.0%,0,N/A,1,0.0%
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.1,45.5%,0,33.3%,1.38,80.0%,0,42.9%,5,40.0%,2,50.0%,0,20.0%,0,0.0%,2,0.0%,0,N/A
TOTAL,0.93,22,3,35.3%,1.13,81.8%,2,42.9%,6,50.0%,8,37.5%,0.0,18.2%,1,0.0%,2,0.0%,1,0.0%
