,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,1.0,N/A,N/A,N/A,0.0,1.14,1.8,0.0,0.44,2.0,0.0,1.0,0.8
% of Poss.,0.0%,7.9%,0.0%,0.0%,0.0%,2.6%,26.3%,21.1%,7.9%,28.9%,5.3%,5.3%,7.9%,38
Total FG%,N/A,50.0%,N/A,N/A,N/A,0.0%,50.0%,66.7%,0.0%,28.6%,100.0%,0.0%,50.0%,36.0%
Shooting PPP,N/A,2.0,N/A,N/A,N/A,0.0,1.6,2.0,0.0,0.67,2.0,0.0,2.0,1.0
% of Shooting Poss.,0.0%,6.5%,0.0%,0.0%,0.0%,3.2%,25.8%,16.1%,9.7%,25.8%,6.5%,6.5%,66.7% | 1,81.6% | 19
Shooting FG%,N/A,100.0%,N/A,N/A,N/A,0.0%,75.0%,66.7%,0.0%,50.0%,100.0%,0.0%,100.0%,47.4%
Shooting 2pt Att.,0,1,0,0,0,1,2,0,0,2,1,0,1,7
Shooting 2pt FG%,N/A,100.0%,N/A,N/A,N/A,0.0%,50.0%,N/A,N/A,100.0%,100.0%,N/A,100.0%,71.4%
Shooting 3pt Att.,0,0,0,0,0,0,2,3,3,2,0,2,0,12
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,66.7%,0.0%,0.0%,N/A,0.0%,nan%,33.3%
Passing PPP,N/A,0.0,N/A,N/A,N/A,N/A,0.0,1.14,N/A,0.0,N/A,N/A,0.0,0.15
% of Passing Poss.,0.0%,13.7%,0.0%,0.0%,0.0%,0.0%,27.3%,41.0%,0.0%,41.0%,0.0%,0.0%,33.3% | 1,19.3% | 6
Passing FG%,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,0.0%,N/A,N/A,0.0%,0.0%
Passing 2pt Att.,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Passing 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,nan%,0.0%
Passing 3pt Att.,0,1,0,0,0,0,2,0,0,2,0,0,1,5
Passing 3pt FG%,N/A,0.0%,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,0.0%,N/A,N/A,0.0%,0.0%
