,EMBIID,REED,TUCKER,HARRELL,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.33,N/A,N/A,N/A,0.0,2.0,1.84,2.0,1.0,N/A,0.67,N/A,1.0,1.3
% of Poss.,18.5%,0.0%,0.0%,0.0%,3.7%,7.4%,33.3%,7.4%,14.8%,0.0%,14.8%,0.0%,22.2%,27
Total FG%,66.7%,N/A,N/A,N/A,N/A,100.0%,75.0%,100.0%,33.3%,N/A,33.3%,N/A,66.7%,60.0%
Shooting PPP,2.0,N/A,N/A,N/A,0.0,2.0,2.08,2.0,1.0,N/A,0.67,N/A,1.33,1.37
% of Shooting Poss.,17.4%,0.0%,0.0%,0.0%,4.3%,8.7%,26.1%,8.7%,17.4%,0.0%,17.4%,0.0%,83.3% | 2,85.2% | 12
Shooting FG%,100.0%,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%,33.3%,N/A,33.3%,N/A,100.0%,66.7%
Shooting 2pt Att.,2,0,0,0,0,1,0,1,0,0,3,0,2,7
Shooting 2pt FG%,100.0%,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,33.3%,N/A,100.0%,71.4%
Shooting 3pt Att.,0,0,0,0,0,0,2,0,3,0,0,0,0,5
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,33.3%,N/A,N/A,N/A,nan%,60.0%
Passing PPP,0.0,N/A,N/A,N/A,N/A,N/A,1.5,N/A,N/A,N/A,N/A,N/A,0.0,1.0
% of Passing Poss.,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7% | 1,14.8% | 3
Passing FG%,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,0.0%,33.3%
Passing 2pt Att.,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Passing 2pt FG%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%
Passing 3pt Att.,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,nan%,50.0%
