,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,3.0,5.9%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,50.0%,100.0%,0,N/A,1,100.0%
GORDON,0.0,5.9%,0.0%,0.0,6.7%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,2.0,5.9%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,50.0%,100.0%,1,100.0%,0,N/A
ISO,0.0,5.9%,N/A,0.0,6.7%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,1.4,29.4%,100.0%,1.4,33.3%,100.0%,2,100.0%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,2.0,5.9%,100.0%,2.0,6.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.33,35.3%,50.0%,1.33,40.0%,50.0%,1,100.0%,5,40.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,5.9%,0.0%,0.0,6.7%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.67,17.6%,66.7%,0.0,33.3%,0.0%,1,0.0%,0,N/A,2,66.7%,100.0%,1,100.0%,1,100.0%
TOTAL,1.29,17,64.3%,1.13,88.2%,58.3%,6,66.7%,6,50.0%,2.5,11.8%,100.0%,1,100.0%,1,100.0%
