,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,2.08,15.2%,0,100.0%,2.13,11.1%,0,100.0%,1,100.0%,0,N/A,2.0,50.0%,0,100.0%,1,100.0%,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.0,10.5%,0,0.0%,0.0,11.8%,0,0.0%,1,0.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,1.6,19.8%,0,50.0%,2.17,16.2%,0,100.0%,1,100.0%,0,N/A,0.0,50.0%,0,0.0%,0,N/A,1,0.0%
Attacking Closeouts,2.08,7.6%,0,100.0%,2.08,8.5%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.29,28.6%,0,40.0%,1.29,32.0%,0,40.0%,0,N/A,5,40.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,5.3%,0,0.0%,0.0,5.9%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,2.0,5.3%,0,100.0%,2.0,5.9%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,10.5%,0,100.0%,2.0,11.8%,0,100.0%,2,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,3.0,10.5%,0,100.0%,4.0,50.0%,0,100.0%,1,100.0%,0,N/A,2,50.0%,0,100.0%,1,100.0%,0,N/A
TOTAL,1.43,19,0,56.2%,1.48,89.5%,0,57.1%,7,85.7%,7,28.6%,1.0,10.5%,0,50.0%,1,100.0%,1,0.0%
