,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
ISO,2.0,16.7%,66.7%,2.0,16.7%,66.7%,1,100.0%,2,50.0%,N/A,N/A,N/A,0,N/A,0,N/A
Transition,2.0,5.6%,100.0%,2.0,5.6%,100.0%,1,100.0%,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Attacking Closeouts,1.0,22.2%,50.0%,1.0,22.2%,50.0%,3,66.7%,1,0.0%,N/A,N/A,N/A,0,N/A,0,N/A
Catch & Shoot,1.8,27.8%,60.0%,1.8,27.8%,60.0%,0,N/A,5,60.0%,N/A,N/A,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,16.7%,100.0%,2.0,16.7%,100.0%,3,100.0%,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Cutting,1.0,11.1%,50.0%,1.0,11.1%,50.0%,2,50.0%,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
PNR / DHO,N/A,0.0%,nan%,N/A,N/A,nan%,0,nan%,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
TOTAL,1.61,18,66.7%,1.61,100.0%,66.7%,10,80.0%,8,50.0%,nan,0.0%,nan%,0,nan%,0,nan%
