,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,2.0,20.8%,80.0%,2.67,23.1%,100.0%,2,100.0%,1,100.0%,1.0,18.2%,50.0%,2,50.0%,0,N/A
HORFORD,1.84,20.3%,75.0%,1.6,14.5%,100.0%,1,100.0%,0,N/A,2.0,27.3%,66.7%,0,N/A,3,66.7%
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,2.0,4.2%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,9.1%,100.0%,1,100.0%,0,N/A
Transition,1.2,20.8%,60.0%,1.33,23.1%,66.7%,3,66.7%,0,N/A,1.0,18.2%,50.0%,1,100.0%,1,0.0%
Attacking Closeouts,0.5,16.7%,25.0%,1.0,15.4%,50.0%,2,50.0%,0,N/A,0.0,18.2%,0.0%,0,N/A,2,0.0%
Catch & Shoot,1.0,12.5%,33.3%,1.0,23.1%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,8.3%,100.0%,2.0,7.7%,100.0%,1,100.0%,0,N/A,2.0,9.1%,100.0%,1,100.0%,0,N/A
PNR / DHO,2.11,37.5%,77.8%,2.75,44.4%,100.0%,3,100.0%,1,100.0%,2,55.6%,60.0%,2,50.0%,3,66.7%
TOTAL,1.45,24,62.5%,1.59,54.2%,69.2%,9,77.8%,4,50.0%,1.27,45.8%,54.5%,5,80.0%,6,33.3%
