,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,0.0,1.1%,0.0%,0.0,0.9%,0.0%,2,0.0%,0,N/A,0.0,3.1%,0.0%,0,N/A,1,0.0%
HORFORD,1.04,7.2%,58.3%,1.2,6.1%,75.0%,7,71.4%,1,100.0%,0.6,15.6%,25.0%,1,0.0%,3,33.3%
GRANT,1.5,2.3%,66.7%,1.5,1.7%,75.0%,3,100.0%,1,0.0%,1.5,6.2%,50.0%,0,N/A,2,50.0%
SMART,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,1.12,4.0%,57.1%,0.92,4.2%,50.0%,5,60.0%,1,0.0%,3.0,3.1%,100.0%,0,N/A,1,100.0%
ISO,1.25,33.1%,60.0%,1.26,31.6%,62.1%,54,57.4%,4,125.0%,1.22,43.4%,50.0%,5,40.0%,7,57.1%
Transition,1.42,17.0%,78.1%,1.33,16.7%,76.9%,23,82.6%,3,33.3%,2.0,18.8%,83.3%,4,75.0%,2,100.0%
Attacking Closeouts,1.26,14.9%,64.5%,1.28,15.7%,67.9%,28,67.9%,0,N/A,1.0,9.4%,33.3%,0,N/A,3,33.3%
Catch & Shoot,0.73,16.9%,24.4%,0.73,19.2%,24.4%,0,N/A,45,24.4%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.22,3.4%,44.4%,1.22,3.8%,44.4%,3,33.3%,6,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.0,0.8%,100.0%,2.0,0.4%,100.0%,1,100.0%,0,N/A,0.0,3.1%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.08,14.3%,53.6%,1.1,76.3%,60.0%,17,64.7%,3,33.3%,1,23.7%,37.5%,1,0.0%,7,42.9%
TOTAL,1.16,266,54.6%,1.15,88.0%,55.1%,126,65.1%,61,34.4%,1.25,12.0%,51.7%,10,50.0%,19,52.6%
