,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,0.0,13.0%,0.0%,0.0,14.7%,0.0%,3,0.0%,2,0.0%,0.0,10.0%,0.0%,0,N/A,1,0.0%
HORFORD,0.68,10.9%,25.0%,0.26,11.4%,0.0%,2,0.0%,0,N/A,1.5,10.0%,50.0%,1,0.0%,1,100.0%
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,0.2,9.0%,0.0%,0.53,5.5%,0.0%,0,N/A,1,0.0%,0.0,15.0%,0.0%,1,0.0%,2,0.0%
OTHERS,3.0,1.9%,100.0%,3.0,2.9%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.81,27.3%,30.0%,1.16,22.8%,40.0%,3,0.0%,2,100.0%,0.43,35.0%,20.0%,2,0.0%,3,33.3%
Transition,1.67,11.1%,83.3%,2.0,8.8%,100.0%,3,100.0%,0,N/A,1.33,15.0%,66.7%,2,100.0%,1,0.0%
Attacking Closeouts,0.0,5.6%,0.0%,0.0,5.9%,0.0%,1,0.0%,0,N/A,0.0,5.0%,0.0%,0,N/A,1,0.0%
Catch & Shoot,1.0,5.6%,33.3%,1.0,8.8%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.83,11.1%,33.3%,0.75,11.8%,25.0%,1,0.0%,3,33.3%,1.0,10.0%,50.0%,1,100.0%,1,0.0%
Cutting,0.0,1.9%,0.0%,0.0,2.9%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,3.7%,100.0%,2.0,5.9%,100.0%,2,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.44,33.3%,13.3%,0.45,61.1%,11.1%,5,0.0%,4,25.0%,0,38.9%,16.7%,2,0.0%,4,25.0%
TOTAL,0.77,54,33.3%,0.87,63.0%,35.7%,16,31.2%,12,41.7%,0.6,37.0%,29.4%,7,42.9%,10,20.0%
