,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,2.08,13.1%,0,100.0%,2.0,10.0%,0,100.0%,2,100.0%,0,N/A,2.27,44.0%,0,N/A,0,N/A,0,N/A
REED,1.45,15.6%,0,66.7%,1.45,17.2%,0,66.7%,3,66.7%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TUCKER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NIANG,3.0,4.5%,0,100.0%,3.0,5.0%,0,100.0%,0,N/A,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,2.0,4.5%,0,100.0%,2.0,5.0%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.67,13.6%,0,33.3%,0.67,15.0%,0,33.3%,3,33.3%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,1.84,24.7%,0,80.0%,1.58,22.2%,0,75.0%,4,75.0%,0,N/A,3.0,50.0%,0,100.0%,0,N/A,1,100.0%
Attacking Closeouts,0.5,18.2%,0,25.0%,0.0,15.0%,0,0.0%,2,0.0%,1,0.0%,2.0,50.0%,0,100.0%,1,100.0%,0,N/A
Catch & Shoot,2.0,13.6%,0,66.7%,2.0,15.0%,0,66.7%,0,N/A,3,66.7%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,2.29,31.8%,0,85.7%,2.0,100.0%,0,85.7%,6,83.3%,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
TOTAL,1.52,22,0,63.6%,1.39,90.9%,0,60.0%,15,60.0%,5,60.0%,2.43,9.1%,0,100.0%,1,100.0%,1,100.0%
