,HARDEN,MAXEY,MILTON,MELTON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,2.03,N/A,N/A,3.0,2.0,1.24,0.53,N/A,0.0,N/A,N/A,0.0,2.14,1.3
% of Poss.,17.2%,0.0%,0.0%,2.3%,2.3%,66.7%,9.2%,0.0%,1.1%,0.0%,0.0%,1.1%,21.8%,87
Total FG%,83.3%,N/A,N/A,100.0%,100.0%,52.4%,N/A,N/A,0.0%,N/A,N/A,0.0%,87.5%,58.1%
Shooting PPP,1.64,N/A,N/A,N/A,N/A,1.35,0.69,N/A,0.0,N/A,N/A,N/A,1.64,1.29
% of Shooting Poss.,16.2%,0.0%,0.0%,0.0%,0.0%,73.5%,8.8%,0.0%,1.5%,0.0%,0.0%,0.0%,57.9% | 4,78.2% | 20
Shooting FG%,75.0%,N/A,N/A,N/A,N/A,60.0%,N/A,N/A,0.0%,N/A,N/A,N/A,75.0%,60.0%
Shooting 2pt Att.,4,0,0,0,0,15,0,0,0,0,0,0,4,19
Shooting 2pt FG%,75.0%,N/A,N/A,N/A,N/A,60.0%,N/A,N/A,N/A,N/A,N/A,N/A,75.0%,63.2%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,nan%,0.0%
Passing PPP,3.0,N/A,N/A,3.0,2.0,0.83,0.0,N/A,N/A,N/A,N/A,0.0,2.75,1.35
% of Passing Poss.,21.1%,0.0%,0.0%,10.5%,10.5%,42.1%,10.5%,0.0%,0.0%,0.0%,0.0%,5.3%,42.1% | 4,21.8% | 11
Passing FG%,100.0%,N/A,N/A,100.0%,100.0%,33.3%,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,54.5%
Passing 2pt Att.,0,0,0,0,1,3,0,0,0,0,0,0,1,4
Passing 2pt FG%,N/A,N/A,N/A,N/A,100.0%,33.3%,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,50.0%
Passing 3pt Att.,2,0,0,1,0,3,0,0,0,0,0,1,3,7
Passing 3pt FG%,100.0%,N/A,N/A,100.0%,N/A,33.3%,N/A,N/A,N/A,N/A,N/A,0.0%,100.0%,57.1%
