,EMBIID,REED,NIANG,TUCKER,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.32,N/A,0.26,0.0,3.0,1.8,1.16,0.0,2.0,N/A,N/A,N/A,1.08,1.33
% of Poss.,25.4%,0.0%,9.0%,1.5%,3.0%,28.4%,23.9%,1.5%,7.5%,0.0%,0.0%,0.0%,38.8%,67
Total FG%,55.6%,N/A,0.0%,N/A,100.0%,60.0%,60.0%,0.0%,66.7%,N/A,N/A,N/A,50.0%,54.8%
Shooting PPP,1.5,N/A,0.35,N/A,N/A,2.0,1.04,N/A,2.0,N/A,N/A,N/A,0.82,1.57
% of Shooting Poss.,8.1%,0.0%,13.5%,0.0%,0.0%,48.6%,16.2%,0.0%,13.5%,0.0%,0.0%,0.0%,30.8% | 3,55.2% | 17
Shooting FG%,50.0%,N/A,0.0%,N/A,N/A,66.7%,50.0%,N/A,66.7%,N/A,N/A,N/A,33.3%,58.8%
Shooting 2pt Att.,0,0,1,0,0,5,2,0,0,0,0,0,1,8
Shooting 2pt FG%,N/A,N/A,0.0%,N/A,N/A,60.0%,50.0%,N/A,N/A,N/A,N/A,N/A,0.0%,50.0%
Shooting 3pt Att.,2,0,0,0,0,4,0,0,3,0,0,0,2,9
Shooting 3pt FG%,50.0%,N/A,N/A,N/A,N/A,75.0%,N/A,N/A,66.7%,N/A,N/A,N/A,50.0%,66.7%
Passing PPP,1.27,N/A,0.0,0.0,3.0,0.0,1.23,0.0,N/A,N/A,N/A,N/A,1.19,1.07
% of Passing Poss.,46.7%,0.0%,3.3%,3.3%,6.7%,3.3%,33.3%,3.3%,0.0%,0.0%,0.0%,0.0%,69.2% | 9,44.8% | 14
Passing FG%,57.1%,N/A,0.0%,N/A,100.0%,0.0%,66.7%,0.0%,N/A,N/A,N/A,N/A,55.6%,50.0%
Passing 2pt Att.,6,0,0,0,0,0,3,1,0,0,0,0,6,10
Passing 2pt FG%,50.0%,N/A,N/A,N/A,N/A,N/A,66.7%,0.0%,N/A,N/A,N/A,N/A,50.0%,50.0%
Passing 3pt Att.,1,0,1,0,1,1,0,0,0,0,0,0,3,4
Passing 3pt FG%,100.0%,N/A,0.0%,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,66.7%,50.0%
