Shot Type,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,29,16,8,3,3,116,11,9,0,1,0,3
shoot2FGM,18,14,7,2,2,60,6,6,0,1,0,3
shoot2FTA,9,15,2,0,2,102,11,2,0,2,0,0
shoot2FTM,9,13,1,1,2,81,10,2,0,1,0,0
shoot2TO,8,3,1,0,0,9,3,1,0,0,0,0
shoot3FGA,9,7,7,2,10,51,3,4,13,1,0,0
shoot3FGM,4,2,2,0,4,16,1,1,8,0,0,0
shoot3FTA,0,0,0,0,0,6,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,4,0,0,0,0,0,0
shoot3TO,0,0,1,0,0,1,0,0,0,0,0,0
pass2FGA,12,11,0,3,4,11,8,0,0,0,0,0
pass2FGM,10,11,0,2,3,7,5,0,0,0,0,0
pass2FTA,2,4,0,2,0,2,4,0,0,0,0,0
pass2FTM,1,4,0,2,0,1,4,0,0,0,0,0
pass2TO,3,4,0,0,0,5,5,1,0,0,0,0
pass3FGA,28,9,8,4,9,60,12,4,0,1,0,0
pass3FGM,10,0,3,1,4,29,6,3,0,1,0,0
pass3FTA,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,3,0,0,0,0,0,0
pass3TO,1,0,1,0,1,3,2,0,0,0,0,0
