,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
TATUM,0.0,5.6%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,16.7%,0.0%,0,N/A,1,0.0%
BROWN,0.0,11.1%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,33.3%,0.0%,1,0.0%,1,0.0%
WHITE,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SMART,3.0,5.6%,100.0%,3.0,8.3%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.0,5.6%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,16.7%,0.0%,1,0.0%,0,N/A
Transition,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,11.1%,0.0%,0.0,8.3%,0.0%,1,0.0%,0,N/A,0.0,16.7%,0.0%,0,N/A,1,0.0%
Catch & Shoot,2.14,38.9%,71.4%,2.14,58.3%,71.4%,0,N/A,7,71.4%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,5.6%,0.0%,0.0,8.3%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,5.6%,0.0%,0.0,8.3%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.5,11.1%,100.0%,2.0,8.3%,100.0%,1,100.0%,0,N/A,3.0,16.7%,100.0%,0,N/A,1,100.0%
PNR / DHO,0.75,22.2%,25.0%,3.0,25.0%,100.0%,0,nan%,1,100.0%,0,75.0%,0.0%,1,0.0%,2,0.0%
TOTAL,1.28,18,44.4%,1.67,66.7%,58.3%,3,33.3%,9,66.7%,0.5,33.3%,16.7%,2,0.0%,4,25.0%
