,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BROWN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
WHITE,3.0,7.7%,100.0%,3.0,10.0%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
SMART,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.0,7.7%,N/A,0.0,10.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,3.0,7.7%,100.0%,3.0,10.0%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,2.5,15.4%,100.0%,2.0,10.0%,100.0%,1,100.0%,0,N/A,3.0,33.3%,100.0%,0,N/A,1,100.0%
Catch & Shoot,2.0,46.2%,66.7%,2.0,60.0%,66.7%,0,N/A,6,66.7%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,7.7%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,33.3%,N/A,0,N/A,0,N/A
Cutting,2.0,7.7%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,33.3%,100.0%,1,100.0%,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,3.0,7.7%,100.0%,3.0,100.0%,100.0%,0,nan%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,1.92,13,81.8%,2.0,76.9%,77.8%,2,100.0%,7,71.4%,1.67,23.1%,100.0%,1,100.0%,1,100.0%
