Shot Type,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,18,13,6,0,3,77,6,3,0,0,0,0
shoot2FGM,11,12,5,0,2,40,4,2,0,0,0,0
shoot2FTA,5,6,0,0,2,59,4,2,0,0,0,0
shoot2FTM,4,5,0,0,2,46,4,2,0,0,0,0
shoot2TO,6,2,1,0,0,3,1,0,0,0,0,0
shoot3FGA,5,4,6,0,3,26,3,0,5,1,0,0
shoot3FGM,4,1,1,0,1,9,1,0,3,0,0,0
shoot3FTA,0,0,0,0,0,6,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,4,0,0,0,0,0,0
shoot3TO,0,0,1,0,0,1,0,0,0,0,0,0
pass2FGA,4,7,0,0,4,6,3,0,0,0,0,0
pass2FGM,3,7,0,0,3,5,2,0,0,0,0,0
pass2FTA,2,2,0,0,0,2,2,0,0,0,0,0
pass2FTM,1,2,0,0,0,1,2,0,0,0,0,0
pass2TO,1,1,0,0,0,2,0,0,0,0,0,0
pass3FGA,10,6,1,0,9,32,4,0,0,1,0,0
pass3FGM,4,0,0,0,4,16,1,0,0,1,0,0
pass3FTA,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,3,0,0,0,0,0,0
pass3TO,0,0,0,0,1,3,1,0,0,0,0,0
