,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,N/A,0.0,0.75,2.5,1.25,1.6,0.0,0.67,N/A,N/A,N/A,1.0,1.15
% of Poss.,0.0%,0.0%,2.4%,26.2%,9.5%,14.3%,47.6%,2.4%,9.5%,0.0%,0.0%,0.0%,38.1%,42
Total FG%,N/A,N/A,0.0%,42.9%,100.0%,50.0%,83.3%,0.0%,33.3%,N/A,N/A,N/A,50.0%,54.2%
Shooting PPP,N/A,N/A,0.0,0.67,2.0,0.67,2.08,0.0,0.0,N/A,N/A,N/A,0.75,1.01
% of Shooting Poss.,0.0%,0.0%,3.4%,27.1%,6.8%,13.6%,54.2%,3.4%,6.8%,0.0%,0.0%,0.0%,68.8% | 7,70.3% | 17
Shooting FG%,N/A,N/A,0.0%,40.0%,100.0%,33.3%,100.0%,0.0%,0.0%,N/A,N/A,N/A,42.9%,47.1%
Shooting 2pt Att.,0,0,0,5,1,3,4,1,0,0,0,0,6,14
Shooting 2pt FG%,N/A,N/A,N/A,40.0%,100.0%,33.3%,100.0%,0.0%,N/A,N/A,N/A,N/A,50.0%,57.1%
Shooting 3pt Att.,0,0,1,0,0,0,0,0,2,0,0,0,1,3
Shooting 3pt FG%,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,0.0%,0.0%
Passing PPP,N/A,N/A,N/A,1.0,3.0,3.0,0.67,N/A,2.0,N/A,N/A,N/A,1.67,1.5
% of Passing Poss.,0.0%,0.0%,0.0%,23.1%,15.4%,15.4%,30.8%,0.0%,15.4%,0.0%,0.0%,0.0%,31.2% | 3,31.0% | 7
Passing FG%,N/A,N/A,N/A,50.0%,100.0%,100.0%,50.0%,N/A,100.0%,N/A,N/A,N/A,66.7%,71.4%
Passing 2pt Att.,0,0,0,1,0,0,1,0,1,0,0,0,1,3
Passing 2pt FG%,N/A,N/A,N/A,100.0%,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,0,0,0,1,1,1,1,0,0,0,0,0,2,4
Passing 3pt FG%,N/A,N/A,N/A,0.0%,100.0%,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%,50.0%
