,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,1.1,15.9%,55.6%,1.17,14.6%,50.0%,4,50.0%,2,50.0%,1.0,18.2%,66.7%,3,66.7%,0,N/A
MOBLEY,0.62,12.7%,28.6%,0.5,9.8%,25.0%,4,25.0%,0,N/A,0.75,18.2%,33.3%,0,N/A,3,33.3%
MITCHELL,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OSMAN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,1.67,4.8%,66.7%,1.67,7.3%,66.7%,1,100.0%,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.7,25.2%,78.6%,1.6,29.0%,70.0%,7,85.7%,3,33.3%,2.0,18.2%,100.0%,4,100.0%,0,N/A
Transition,1.65,17.3%,80.0%,1.84,11.9%,100.0%,4,100.0%,0,N/A,1.5,27.3%,66.7%,4,100.0%,2,0.0%
Attacking Closeouts,1.29,11.1%,80.0%,1.75,9.8%,75.0%,4,75.0%,0,N/A,0.67,13.6%,100.0%,1,100.0%,0,N/A
Catch & Shoot,0.86,11.1%,28.6%,0.86,17.1%,28.6%,0,N/A,7,28.6%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.6%,0.0%,0.0,2.4%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,3.0,1.6%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,4.5%,100.0%,0,N/A,1,100.0%
PNR / DHO,1.0,33.3%,47.4%,1.08,61.9%,46.2%,9,44.4%,4,50.0%,1,38.1%,50.0%,3,66.7%,3,33.3%
TOTAL,1.32,63,61.4%,1.32,65.1%,56.4%,24,70.8%,15,33.3%,1.32,34.9%,72.2%,12,91.7%,6,33.3%
