,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MITCHELL,0.4,7.8%,20.0%,0.4,8.9%,20.0%,5,20.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GARLAND,1.74,4.5%,50.0%,1.06,3.4%,0.0%,1,0.0%,0,N/A,3.0,12.5%,100.0%,0,N/A,1,100.0%
LEVERT,1.06,2.9%,100.0%,1.06,3.4%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OSMAN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.96,32.4%,50.0%,0.84,31.7%,42.9%,14,42.9%,0,N/A,1.67,37.5%,100.0%,1,100.0%,1,100.0%
Transition,1.92,10.6%,80.0%,2.25,8.7%,100.0%,4,100.0%,0,N/A,1.06,23.5%,0.0%,0,N/A,1,0.0%
Attacking Closeouts,1.0,4.7%,50.0%,3.0,1.8%,100.0%,0,N/A,1,100.0%,0.0,25.0%,0.0%,1,0.0%,0,N/A
Catch & Shoot,0.3,15.6%,10.0%,0.3,17.9%,10.0%,1,0.0%,9,11.1%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.83,18.8%,83.3%,1.83,21.4%,83.3%,12,83.3%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,4.7%,100.0%,2.0,3.6%,100.0%,2,100.0%,0,N/A,2.0,12.5%,100.0%,1,100.0%,0,N/A
PNR / DHO,1.0,14.1%,37.5%,0.75,88.9%,28.6%,7,28.6%,0,N/A,3,11.1%,100.0%,0,N/A,1,100.0%
TOTAL,1.16,64,53.6%,1.13,87.5%,52.0%,40,60.0%,10,20.0%,1.35,12.5%,66.7%,3,66.7%,3,66.7%
