,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,1.13,21.8%,50.7%,1.34,18.6%,58.1%,33,54.5%,10,70.0%,0.83,29.2%,40.6%,17,58.8%,15,20.0%
MOBLEY,1.0,16.5%,50.0%,1.03,13.2%,50.0%,26,57.7%,6,16.7%,0.95,23.8%,50.0%,13,76.9%,9,11.1%
LEVERT,2.0,0.3%,100.0%,2.0,0.4%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
MITCHELL,0.5,1.0%,25.0%,0.0,1.1%,0.0%,1,0.0%,2,0.0%,2.0,0.8%,100.0%,1,100.0%,0,N/A
OTHERS,1.32,9.1%,51.6%,1.42,10.2%,56.5%,12,50.0%,11,63.6%,1.0,6.7%,37.5%,3,33.3%,5,40.0%
ISO,0.95,24.3%,39.5%,0.73,26.5%,29.0%,39,33.3%,23,21.7%,1.64,19.3%,73.7%,9,88.9%,10,60.0%
Transition,1.32,11.3%,58.3%,1.26,10.0%,55.0%,14,50.0%,6,66.7%,1.41,14.2%,62.5%,9,88.9%,7,28.6%
Attacking Closeouts,1.06,7.0%,47.6%,1.18,7.6%,53.3%,15,53.3%,0,N/A,0.73,5.7%,33.3%,2,50.0%,4,25.0%
Catch & Shoot,2.0,6.9%,69.2%,2.0,10.0%,69.2%,0,N/A,26,69.2%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.91,1.5%,75.0%,1.89,1.8%,66.7%,1,100.0%,2,50.0%,2.0,0.8%,100.0%,1,100.0%,0,N/A
Cutting,2.0,0.5%,100.0%,2.0,0.7%,100.0%,2,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.12,48.5%,50.3%,1.24,61.9%,53.9%,73,54.8%,29,51.7%,1,38.1%,44.4%,34,64.7%,29,20.7%
TOTAL,1.17,390,50.4%,1.19,69.2%,49.6%,144,49.3%,86,50.0%,1.12,30.8%,52.4%,55,72.7%,50,30.0%
