,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,1.13,17.9%,46.3%,1.2,15.7%,48.6%,23,56.5%,14,35.7%,0.94,27.4%,41.2%,5,100.0%,12,16.7%
MOBLEY,0.79,11.1%,36.4%,0.86,7.7%,36.8%,14,35.7%,5,40.0%,0.69,25.8%,35.7%,12,41.7%,2,0.0%
LEVERT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GARLAND,0.0,0.3%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,1.6%,0.0%,0,N/A,1,0.0%
OTHERS,2.11,2.7%,87.5%,2.0,3.0%,85.7%,3,100.0%,4,75.0%,3.0,1.6%,100.0%,0,N/A,1,100.0%
ISO,1.39,31.5%,56.6%,1.32,32.0%,53.7%,43,60.5%,24,41.7%,1.72,29.0%,68.8%,6,100.0%,10,50.0%
Transition,1.12,12.6%,58.1%,1.25,13.3%,60.7%,20,75.0%,8,25.0%,0.34,9.5%,33.3%,1,100.0%,2,0.0%
Attacking Closeouts,1.44,8.4%,69.6%,1.41,9.2%,66.7%,21,66.7%,0,N/A,1.67,4.8%,100.0%,2,100.0%,0,N/A
Catch & Shoot,0.97,11.1%,32.4%,0.97,13.7%,32.4%,0,N/A,37,32.4%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.91,3.3%,36.4%,0.91,4.1%,36.4%,5,40.0%,6,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,0.3%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,1.6%,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,1.2%,50.0%,1.0,1.5%,50.0%,4,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.08,31.9%,45.8%,1.2,67.0%,49.2%,40,52.5%,23,43.5%,1,33.0%,39.4%,17,58.8%,16,18.8%
TOTAL,1.19,332,50.2%,1.22,81.3%,50.2%,133,60.2%,98,36.7%,1.08,18.7%,50.0%,26,73.1%,28,28.6%
