,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,0.0,13.0%,0.0%,0.0,12.5%,0.0%,2,0.0%,0,N/A,0.0,14.3%,0.0%,0,N/A,1,0.0%
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SMART,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,3.0,4.3%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,14.3%,100.0%,0,N/A,1,100.0%
ISO,1.14,34.3%,42.9%,1.02,36.8%,40.0%,4,50.0%,1,0.0%,1.5,28.6%,50.0%,1,0.0%,1,100.0%
Transition,1.2,21.7%,75.0%,0.67,18.8%,50.0%,1,100.0%,1,0.0%,2.0,28.6%,100.0%,2,100.0%,0,N/A
Attacking Closeouts,0.0,8.7%,0.0%,0.0,12.5%,0.0%,2,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,8.7%,50.0%,1.5,12.5%,50.0%,0,N/A,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,3.0,4.3%,100.0%,3.0,6.2%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.0,8.7%,100.0%,2.0,6.2%,100.0%,1,100.0%,0,N/A,0.0,14.3%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.75,17.4%,25.0%,0.0,50.0%,0.0%,2,0.0%,0,N/A,2,50.0%,50.0%,0,N/A,2,50.0%
TOTAL,1.09,23,47.6%,0.95,69.6%,40.0%,10,40.0%,5,40.0%,1.43,30.4%,66.7%,3,66.7%,3,66.7%
