Shot Type,EMBIID,REED,NIANG,TUCKER,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,5,0,1,0,1,6,1,0,0,0,0,0
shoot2FGM,3,0,1,0,0,3,1,0,0,0,0,0
shoot2FTA,2,0,0,0,0,8,0,2,0,0,0,0
shoot2FTM,2,0,0,0,0,6,0,2,0,0,0,0
shoot2TO,0,0,0,1,0,1,0,1,0,0,1,0
shoot3FGA,6,0,0,1,0,8,0,0,7,0,0,0
shoot3FGM,4,0,0,1,0,3,0,0,4,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,14,0,0,0,1,6,5,0,0,0,0,0
pass2FGM,9,0,0,0,1,5,2,0,0,0,0,0
pass2FTA,2,0,0,0,0,0,0,0,0,0,0,0
pass2FTM,2,0,0,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,1,0,0,0,0,0,0
pass3FGA,7,0,0,0,4,6,1,1,0,0,0,0
pass3FGM,4,0,0,0,1,2,1,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0
