,ALLEN,MOBLEY,LEVERT,GARLAND,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.0,0.5,N/A,0.0,3.0,0.71,0.85,1.33,1.0,0.0,0.0,N/A,0.79
% of Poss.,6.4%,21.3%,0.0%,2.1%,4.3%,21.3%,21.3%,10.6%,8.5%,2.1%,2.1%,0.0%,47
Total FG%,50.0%,28.6%,N/A,0.0%,100.0%,28.6%,50.0%,66.7%,33.3%,0.0%,N/A,N/A,37.9%
Shooting PPP,2.0,0.5,N/A,N/A,3.0,0.6,1.25,1.33,1.0,0.0,N/A,N/A,1.0
% of Shooting Poss.,6.1%,15.2%,0.0%,0.0%,6.1%,21.2%,21.2%,15.2%,12.1%,3.0%,0.0%,0.0%,70.2% | 22
Shooting FG%,100.0%,25.0%,N/A,N/A,100.0%,20.0%,50.0%,66.7%,33.3%,0.0%,N/A,N/A,40.9%
Shooting 2pt Att.,1,4,0,0,0,4,3,3,0,0,0,0,15
Shooting 2pt FG%,100.0%,25.0%,N/A,N/A,N/A,25.0%,66.7%,66.7%,N/A,N/A,N/A,N/A,46.7%
Shooting 3pt Att.,0,0,0,0,1,1,1,0,3,1,0,0,7
Shooting 3pt FG%,N/A,N/A,N/A,N/A,100.0%,0.0%,0.0%,N/A,33.3%,0.0%,N/A,N/A,28.6%
Passing PPP,0.0,0.5,N/A,0.0,N/A,1.0,0.0,N/A,N/A,N/A,0.0,N/A,0.37
% of Passing Poss.,7.1%,35.7%,0.0%,7.1%,0.0%,21.4%,21.4%,0.0%,0.0%,0.0%,7.1%,0.0%,29.8% | 7
Passing FG%,0.0%,33.3%,N/A,0.0%,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,N/A,28.6%
Passing 2pt Att.,0,3,0,0,0,1,0,0,0,0,0,0,4
Passing 2pt FG%,N/A,33.3%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,50.0%
Passing 3pt Att.,1,0,0,1,0,1,0,0,0,0,0,0,3
Passing 3pt FG%,0.0%,N/A,N/A,0.0%,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%
