,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,2.14,19.4%,0,85.7%,1.8,20.8%,0,80.0%,4,75.0%,1,100.0%,3.0,16.7%,0,100.0%,0,N/A,2,100.0%
WOOD,0.0,5.6%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,16.7%,0,0.0%,0,N/A,2,0.0%
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
KLEBER,3.0,2.8%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,3.0,8.3%,0,100.0%,0,N/A,1,100.0%
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.14,41.3%,2,58.3%,1.1,45.3%,1,55.6%,8,50.0%,1,100.0%,1.25,33.3%,1,66.7%,1,100.0%,2,50.0%
Transition,1.56,16.0%,0,75.0%,1.23,10.2%,0,50.0%,0,N/A,2,50.0%,1.81,27.7%,0,100.0%,1,100.0%,1,100.0%
Attacking Closeouts,2.08,4.0%,0,100.0%,2.08,6.0%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,3.0,5.6%,0,100.0%,3.0,8.3%,0,100.0%,0,N/A,2,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.67,8.3%,0,66.7%,1.67,12.5%,0,66.7%,1,100.0%,2,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.8,27.8%,0,70.0%,1.8,50.0%,0,80.0%,4,75.0%,1,100.0%,2,50.0%,0,60.0%,0,N/A,5,60.0%
TOTAL,1.56,36,2,68.8%,1.53,66.7%,1,68.2%,14,64.3%,8,75.0%,1.62,33.3%,1,70.0%,2,100.0%,8,62.5%
