,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,2.33,9.4%,0,100.0%,2.5,9.1%,0,100.0%,1,100.0%,1,100.0%,2.0,10.0%,0,100.0%,1,100.0%,0,N/A
WOOD,1.02,15.2%,1,33.3%,1.74,13.1%,0,50.0%,1,0.0%,1,100.0%,0.0,20.0%,1,0.0%,0,N/A,1,0.0%
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
KLEBER,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,2.0,9.4%,0,66.7%,1.5,9.1%,0,50.0%,0,N/A,2,50.0%,3.0,10.0%,0,100.0%,0,N/A,1,100.0%
ISO,1.01,43.4%,2,54.5%,1.01,63.1%,2,54.5%,8,75.0%,3,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,0.56,16.6%,0,0.0%,0.0,4.5%,0,0.0%,0,N/A,1,0.0%,0.69,43.2%,0,0.0%,0,N/A,3,0.0%
Attacking Closeouts,0.0,3.1%,0,0.0%,0.0,4.5%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,1.5,6.2%,0,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,1.5,20.0%,0,50.0%,1,0.0%,1,100.0%
PNR / DHO,1.8,31.2%,1,66.7%,2.17,60.0%,0,66.7%,2,50.0%,4,75.0%,1,40.0%,1,66.7%,1,100.0%,2,50.0%
TOTAL,1.15,32,3,48.1%,1.19,68.8%,2,52.6%,11,63.6%,8,37.5%,1.07,31.2%,1,37.5%,2,50.0%,6,33.3%
