,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,0.0,15.0%,0.0%,0.0,23.1%,0.0%,2,0.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,0.0,10.0%,0.0%,0.0,7.7%,0.0%,1,0.0%,0,N/A,0.0,14.3%,0.0%,1,0.0%,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,0.35,14.4%,0.0%,1.14,6.8%,N/A,0,N/A,0,N/A,0.0,28.6%,0.0%,1,0.0%,1,0.0%
OTHERS,3.0,5.0%,100.0%,3.0,7.7%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.52,28.8%,0.0%,0.8,28.9%,0.0%,2,0.0%,0,N/A,0.0,28.6%,0.0%,1,0.0%,0,N/A
Transition,2.0,15.0%,100.0%,2.0,7.7%,100.0%,1,100.0%,0,N/A,2.0,28.6%,100.0%,2,100.0%,0,N/A
Attacking Closeouts,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,10.0%,50.0%,1.5,15.4%,50.0%,0,N/A,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,5.0%,0.0%,0.0,7.7%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.5,40.0%,12.5%,0.8,62.5%,20.0%,3,0.0%,2,50.0%,0,37.5%,0.0%,2,0.0%,1,0.0%
TOTAL,0.78,20,29.4%,0.88,65.0%,27.3%,7,14.3%,4,50.0%,0.57,35.0%,33.3%,5,40.0%,1,0.0%
