Shot Type,HARDEN,MAXEY,MILTON,MELTON,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,5,0,0,0,0,10,1,0,0,0,1,3
shoot2FGM,4,0,0,0,0,6,1,0,0,0,1,2
shoot2FTA,5,2,0,0,0,0,2,2,0,0,0,2
shoot2FTM,2,2,0,0,0,0,1,2,0,0,0,2
shoot2TO,2,0,0,0,0,2,0,0,0,0,0,1
shoot3FGA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FGM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGM,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,0,0,0,0,0,2,0,0,0,0,0,0
pass3FGM,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
