,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.01,27.2%,55.6%,0.85,28.0%,40.0%,4,50.0%,1,0.0%,1.2,26.3%,75.0%,4,75.0%,0,N/A
GORDON,0.0,2.5%,0.0%,0.0,4.8%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,1.5,5.0%,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A,1.5,10.5%,50.0%,1,0.0%,1,100.0%
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.06,42.5%,50.0%,1.27,52.4%,45.5%,4,25.0%,7,57.1%,0.67,31.6%,66.7%,2,100.0%,1,0.0%
Transition,1.83,15.0%,80.0%,0.0,9.5%,0.0%,0,N/A,1,0.0%,2.75,21.1%,100.0%,1,100.0%,3,100.0%
Attacking Closeouts,2.0,2.5%,100.0%,2.0,4.8%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.5%,0.0%,0.0,4.8%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,2.5%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,5.3%,0.0%,0,N/A,1,0.0%
Off. Rebounds,0.0,2.5%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,5.3%,0.0%,0,N/A,1,0.0%
PNR / DHO,1.08,32.5%,50.0%,0.83,46.2%,33.3%,4,50.0%,2,0.0%,1,53.8%,66.7%,5,60.0%,1,100.0%
TOTAL,1.1,40,51.4%,0.96,52.5%,40.0%,9,44.4%,11,36.4%,1.26,47.5%,66.7%,8,75.0%,7,57.1%
