,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,0.67,33.3%,33.3%,0.0,16.7%,0.0%,1,0.0%,0,N/A,1.0,66.7%,50.0%,2,50.0%,0,N/A
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.0,11.1%,0.0%,0.0,16.7%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,2.0,11.1%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,33.3%,100.0%,1,100.0%,0,N/A
Attacking Closeouts,1.5,22.2%,50.0%,1.5,33.3%,50.0%,0,N/A,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,22.2%,50.0%,1.5,33.3%,50.0%,0,N/A,2,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.67,33.3%,33.3%,0.0,33.3%,0.0%,1,0.0%,0,N/A,1,66.7%,50.0%,2,50.0%,0,N/A
TOTAL,1.11,9,44.4%,1.0,66.7%,33.3%,1,0.0%,5,40.0%,1.33,33.3%,66.7%,3,66.7%,0,nan%
