,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.0,5.6%,0,0.0%,0.0,9.1%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,0.4,27.8%,1,25.0%,0.67,27.3%,0,33.3%,3,33.3%,0,N/A,0.0,28.6%,1,0.0%,0,N/A,1,0.0%
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.25,22.2%,0,50.0%,1.0,27.3%,0,33.3%,2,0.0%,1,100.0%,2.0,14.3%,0,100.0%,1,100.0%,0,N/A
Transition,1.33,16.7%,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,1.33,42.9%,1,100.0%,2,100.0%,0,N/A
Attacking Closeouts,2.0,5.6%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,14.3%,0,100.0%,1,100.0%,0,N/A
Catch & Shoot,2.0,16.7%,0,66.7%,2.0,27.3%,0,66.7%,0,N/A,3,66.7%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,5.6%,0,100.0%,2.0,9.1%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.33,33.3%,1,20.0%,0.5,66.7%,0,25.0%,4,25.0%,0,N/A,0,33.3%,1,0.0%,0,N/A,1,0.0%
TOTAL,1.17,18,2,56.2%,1.18,61.1%,0,45.5%,7,28.6%,4,75.0%,1.14,38.9%,2,80.0%,4,100.0%,1,0.0%
