Shot Type,JOKIC,GORDON,JORDAN,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
S_2FGA,5,0,0,0,0,4,2,1,0,0,0,0
S_2FGM,2,0,0,0,0,3,2,1,0,0,0,0
S_2FTA,2,0,0,0,0,0,0,2,0,0,0,0
S_2FTM,2,0,0,0,0,0,0,2,0,0,0,0
S_2TO,0,0,0,0,0,0,0,0,0,0,0,0
S_3FGA,2,0,0,0,1,3,1,0,3,1,0,0
S_3FGM,1,0,0,0,1,3,0,0,2,1,0,0
S_3FTA,0,0,0,0,0,0,0,0,0,0,0,0
S_3FTM,0,0,0,0,0,0,0,0,0,0,0,0
S_3TO,0,0,0,0,0,0,0,0,0,0,0,0
P_2FGA,3,0,0,0,0,1,1,0,0,0,0,0
P_2FGM,3,0,0,0,0,0,1,0,0,0,0,0
P_2FTA,0,0,0,0,0,0,0,0,0,0,0,0
P_2FTM,0,0,0,0,0,0,0,0,0,0,0,0
P_2TO,1,0,0,0,0,0,0,0,0,0,0,0
P_3FGA,1,0,0,0,1,1,1,0,0,0,1,0
P_3FGM,0,0,0,0,0,0,0,0,0,0,0,0
P_3FTA,0,0,0,0,0,0,0,0,0,0,0,0
P_3FTM,0,0,0,0,0,0,0,0,0,0,0,0
P_3TO,0,0,0,0,0,0,0,0,0,0,0,0
