,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,0.67,4.9%,0,33.3%,1.0,4.3%,0,50.0%,2,50.0%,0,N/A,0.0,7.1%,0,0.0%,0,N/A,1,0.0%
WOOD,0.0,3.3%,2,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,14.3%,2,N/A,0,N/A,0,N/A
KLEBER,0.0,1.6%,0,0.0%,0.0,2.1%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
MCGEE,0.0,1.6%,1,N/A,0.0,2.1%,1,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.83,9.8%,3,66.7%,0.67,6.4%,1,50.0%,1,100.0%,1,0.0%,1.0,21.4%,2,100.0%,0,N/A,1,100.0%
Transition,1.4,8.2%,0,60.0%,1.0,8.5%,0,50.0%,4,50.0%,0,N/A,3.0,7.1%,0,100.0%,0,N/A,1,100.0%
Attacking Closeouts,1.09,22.6%,2,50.0%,1.13,18.9%,1,57.1%,7,57.1%,0,N/A,1.02,34.9%,1,33.3%,1,0.0%,2,50.0%
Catch & Shoot,1.17,37.7%,0,39.1%,1.17,48.9%,0,39.1%,0,N/A,23,39.1%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.6%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,7.1%,1,N/A,0,N/A,0,N/A
Cutting,0.41,8.0%,2,50.0%,0.52,8.3%,1,50.0%,2,50.0%,0,N/A,0.0,7.1%,1,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,3.3%,0,0.0%,0.0,2.1%,0,0.0%,1,0.0%,0,N/A,0.0,7.1%,0,0.0%,0,N/A,1,0.0%
PNR / DHO,0.29,11.5%,3,25.0%,0.5,57.1%,1,33.3%,2,50.0%,1,0.0%,0,42.9%,2,0.0%,0,N/A,1,0.0%
TOTAL,0.93,61,11,42.9%,0.98,77.0%,4,42.9%,17,52.9%,25,36.0%,0.74,23.0%,7,42.9%,1,0.0%,6,50.0%
