,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.16,40.5%,60.0%,1.36,36.8%,60.0%,4,50.0%,1,100.0%,0.0,100.0%,N/A,0,N/A,0,N/A
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,0.0,5.9%,0.0%,0.0,6.2%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
DINWIDDIE,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,2.0,5.9%,100.0%,2.0,6.2%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,1.29,22.8%,100.0%,1.29,24.2%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,1.39,16.9%,50.0%,1.39,18.0%,50.0%,2,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,11.8%,0.0%,0.0,12.5%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.25,47.1%,57.1%,1.43,87.5%,57.1%,5,60.0%,2,50.0%,0,12.5%,N/A,0,N/A,0,N/A
TOTAL,1.08,17,50.0%,1.14,94.1%,50.0%,7,57.1%,5,40.0%,0.0,5.9%,nan%,0,nan%,0,nan%
