,JOKIC,GORDON,BRYANT,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,N/A,0.88,N/A,0.0,0.53,0.75,1.5,0.0,0.0,2.0,2.13,0.78,0.92
% of Poss.,0.0%,0.0%,32.4%,0.0%,2.9%,11.8%,14.7%,8.8%,2.9%,2.9%,5.9%,17.6%,35.3%,34
Total FG%,N/A,N/A,37.5%,N/A,N/A,0.0%,25.0%,50.0%,0.0%,0.0%,100.0%,100.0%,37.5%,36.8%
Shooting PPP,N/A,N/A,0.67,N/A,N/A,0.0,0.0,N/A,0.0,0.0,2.0,2.0,0.67,0.67
% of Shooting Poss.,0.0%,0.0%,50.0%,0.0%,0.0%,6.2%,6.2%,0.0%,6.2%,6.2%,12.5%,12.5%,66.7% | 6,47.1% | 12
Shooting FG%,N/A,N/A,33.3%,N/A,N/A,0.0%,0.0%,N/A,0.0%,0.0%,100.0%,100.0%,33.3%,33.3%
Shooting 2pt Att.,0,0,6,0,0,0,1,0,0,0,1,1,6,9
Shooting 2pt FG%,N/A,N/A,33.3%,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,100.0%,100.0%,33.3%,44.4%
Shooting 3pt Att.,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,0.0%,0.0%,N/A,N/A,nan%,0.0%
Passing PPP,N/A,N/A,1.5,N/A,0.0,1.14,1.0,1.5,N/A,N/A,N/A,2.27,1.0,1.23
% of Passing Poss.,0.0%,0.0%,16.7%,0.0%,5.6%,16.7%,22.2%,16.7%,0.0%,0.0%,0.0%,22.2%,33.3% | 2,52.9% | 7
Passing FG%,N/A,N/A,50.0%,N/A,N/A,N/A,33.3%,50.0%,N/A,N/A,N/A,N/A,50.0%,42.9%
Passing 2pt Att.,0,0,1,0,0,0,1,0,0,0,0,0,1,2
Passing 2pt FG%,N/A,N/A,0.0%,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%
Passing 3pt Att.,0,0,1,0,0,0,2,2,0,0,0,0,1,5
Passing 3pt FG%,N/A,N/A,100.0%,N/A,N/A,N/A,50.0%,50.0%,N/A,N/A,N/A,N/A,100.0%,60.0%
