,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,2.0,8.3%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,50.0%,100.0%,1,100.0%,0,N/A
GORDON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,0.0,8.3%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,50.0%,0.0%,0,N/A,1,0.0%
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,1.29,32.3%,66.7%,1.33,30.0%,66.7%,3,66.7%,0,N/A,1.14,44.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,1.0,16.7%,50.0%,1.0,20.0%,50.0%,2,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,25.0%,33.3%,1.0,30.0%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.06,15.7%,N/A,1.06,18.8%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,8.3%,100.0%,2.0,10.0%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.0,16.7%,50.0%,N/A,0.0%,nan%,0,nan%,0,N/A,1,100.0%,50.0%,1,100.0%,1,0.0%
TOTAL,1.16,12,54.5%,1.19,83.3%,55.6%,6,66.7%,3,33.3%,1.04,16.7%,50.0%,1,100.0%,1,0.0%
