,JOKIC,GORDON,JORDAN,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.67,N/A,N/A,N/A,0.0,2.0,1.67,0.0,0.0,N/A,N/A,N/A,1.21
% of Poss.,42.9%,0.0%,0.0%,0.0%,7.1%,7.1%,21.4%,7.1%,14.3%,0.0%,0.0%,0.0%,14
Total FG%,66.7%,N/A,N/A,N/A,0.0%,100.0%,66.7%,0.0%,0.0%,N/A,N/A,N/A,50.0%
Shooting PPP,1.33,N/A,N/A,N/A,N/A,2.0,1.0,0.0,0.0,N/A,N/A,N/A,0.89
% of Shooting Poss.,33.3%,0.0%,0.0%,0.0%,0.0%,11.1%,22.2%,11.1%,22.2%,0.0%,0.0%,0.0%,64.3% | 9
Shooting FG%,66.7%,N/A,N/A,N/A,N/A,100.0%,50.0%,0.0%,0.0%,N/A,N/A,N/A,44.4%
Shooting 2pt Att.,3,0,0,0,0,1,1,1,0,0,0,0,6
Shooting 2pt FG%,66.7%,N/A,N/A,N/A,N/A,100.0%,100.0%,0.0%,N/A,N/A,N/A,N/A,66.7%
Shooting 3pt Att.,0,0,0,0,0,0,1,0,2,0,0,0,3
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,0.0%,N/A,N/A,N/A,0.0%
Passing PPP,2.0,N/A,N/A,N/A,0.0,N/A,3.0,N/A,N/A,N/A,N/A,N/A,1.8
% of Passing Poss.,60.0%,0.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,35.7% | 5
Passing FG%,66.7%,N/A,N/A,N/A,0.0%,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,60.0%
Passing 2pt Att.,0,0,0,0,1,0,0,0,0,0,0,0,1
Passing 2pt FG%,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%
Passing 3pt Att.,3,0,0,0,0,0,1,0,0,0,0,0,4
Passing 3pt FG%,66.7%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,75.0%
