,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MURRAY,1.43,11.6%,75.0%,1.5,14.8%,75.0%,4,75.0%,0,N/A,1.14,5.9%,N/A,0,N/A,0,N/A
KCP,2.0,2.4%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,6.7%,100.0%,1,100.0%,0,N/A
PORTER,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BROWN,2.0,2.4%,100.0%,2.0,3.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.0,2.4%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,6.7%,N/A,0,N/A,0,N/A
ISO,1.42,42.0%,64.3%,1.3,39.9%,55.6%,9,55.6%,0,N/A,1.6,45.9%,80.0%,3,100.0%,2,50.0%
Transition,1.0,9.5%,50.0%,2.0,3.7%,100.0%,1,100.0%,0,N/A,0.67,20.0%,33.3%,1,100.0%,2,0.0%
Attacking Closeouts,1.06,4.5%,0.0%,1.06,7.0%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,4.8%,50.0%,1.0,7.4%,50.0%,1,100.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,1.0,4.8%,50.0%,2.0,3.7%,100.0%,1,100.0%,0,N/A,0.0,6.7%,0.0%,0,N/A,1,0.0%
Off. Rebounds,1.86,17.9%,100.0%,1.81,20.4%,100.0%,2,100.0%,0,N/A,2.0,13.3%,100.0%,2,100.0%,0,N/A
PNR / DHO,1.57,16.7%,83.3%,1.6,71.4%,80.0%,5,80.0%,0,N/A,2,28.6%,100.0%,1,100.0%,0,N/A
TOTAL,1.4,42,66.7%,1.47,64.3%,66.7%,20,70.0%,1,0.0%,1.27,35.7%,66.7%,7,100.0%,5,20.0%
