,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MURRAY,2.0,24.0%,100.0%,2.0,7.7%,100.0%,1,100.0%,0,N/A,2.0,41.7%,100.0%,2,100.0%,2,100.0%
KCP,2.0,12.0%,100.0%,2.0,7.7%,100.0%,1,100.0%,0,N/A,2.0,16.7%,100.0%,2,100.0%,0,N/A
PORTER,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BROWN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,2.0,4.0%,100.0%,2.0,7.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.0,16.0%,66.7%,0.67,23.1%,50.0%,2,50.0%,0,N/A,2.0,8.3%,100.0%,1,100.0%,0,N/A
Transition,0.83,24.0%,40.0%,0.0,15.4%,0.0%,1,0.0%,1,0.0%,1.25,33.3%,66.7%,2,100.0%,1,0.0%
Attacking Closeouts,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.0,4.0%,100.0%,2.0,7.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,16.0%,50.0%,1.0,30.8%,50.0%,4,50.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.0,40.0%,100.0%,2.0,30.0%,100.0%,3,100.0%,0,N/A,2,70.0%,100.0%,4,100.0%,2,100.0%
TOTAL,1.4,25,72.7%,1.08,52.0%,58.3%,11,63.6%,1,0.0%,1.75,48.0%,90.0%,7,100.0%,3,66.7%
