,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,2.0,1.67,N/A,N/A,0.0,0.75,1.6,N/A,N/A,N/A,N/A,2.0,1.4,1.05
% of Poss.,5.1%,12.8%,0.0%,0.0%,2.6%,56.4%,12.8%,0.0%,0.0%,0.0%,0.0%,10.3%,20.5%,39
Total FG%,100.0%,66.7%,N/A,N/A,N/A,35.7%,100.0%,N/A,N/A,N/A,N/A,100.0%,75.0%,52.4%
Shooting PPP,2.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,2.0,2.0,1.25
% of Shooting Poss.,10.0%,0.0%,0.0%,0.0%,0.0%,70.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,25.0% | 1,51.3% | 11
Shooting FG%,100.0%,N/A,N/A,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%,63.6%
Shooting 2pt Att.,1,0,0,0,0,8,0,0,0,0,0,2,1,11
Shooting 2pt FG%,100.0%,N/A,N/A,N/A,N/A,50.0%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%,63.6%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan%,nan%
Passing PPP,N/A,1.67,N/A,N/A,0.0,0.43,1.6,N/A,N/A,N/A,N/A,N/A,1.25,0.85
% of Passing Poss.,0.0%,26.3%,0.0%,0.0%,5.3%,42.1%,26.3%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0% | 3,48.7% | 10
Passing FG%,N/A,66.7%,N/A,N/A,N/A,16.7%,100.0%,N/A,N/A,N/A,N/A,N/A,66.7%,40.0%
Passing 2pt Att.,0,1,0,0,0,0,1,0,0,0,0,0,1,2
Passing 2pt FG%,N/A,100.0%,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,0,2,0,0,0,6,0,0,0,0,0,0,2,8
Passing 3pt FG%,N/A,50.0%,N/A,N/A,N/A,16.7%,N/A,N/A,N/A,N/A,N/A,N/A,50.0%,25.0%
