,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,3.0,3.3%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,7.1%,100.0%,0,N/A,1,100.0%
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.5,26.7%,28.6%,0.67,37.5%,40.0%,3,66.7%,2,0.0%,0.0,14.3%,0.0%,1,0.0%,1,0.0%
ISO,1.05,41.5%,41.7%,1.13,27.8%,50.0%,4,50.0%,0,N/A,1.0,57.1%,37.5%,2,50.0%,6,33.3%
Transition,2.33,11.5%,100.0%,2.46,15.2%,100.0%,1,100.0%,1,100.0%,2.0,7.1%,100.0%,1,100.0%,0,N/A
Attacking Closeouts,1.03,12.9%,33.3%,1.06,11.8%,0.0%,0,N/A,1,0.0%,1.0,14.3%,50.0%,2,50.0%,0,N/A
Catch & Shoot,3.0,6.7%,100.0%,3.0,12.5%,100.0%,0,N/A,2,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.78,30.0%,37.5%,0.67,66.7%,40.0%,3,66.7%,2,0.0%,1,33.3%,33.3%,1,0.0%,2,50.0%
TOTAL,1.24,30,50.0%,1.37,53.3%,57.1%,8,62.5%,6,50.0%,1.07,46.7%,42.9%,6,50.0%,8,37.5%
