,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
HARDEN,1.52,15.9%,2,70.6%,1.36,17.7%,2,67.9%,28,67.9%,0,N/A,2.5,9.7%,0,83.3%,0,N/A,6,83.3%
MAXEY,1.89,1.0%,0,N/A,1.89,1.2%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MILTON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
MELTON,3.0,0.7%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,3.0,3.2%,0,100.0%,0,N/A,2,100.0%
OTHERS,2.0,0.7%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,3.2%,0,100.0%,2,100.0%,0,N/A
ISO,1.17,61.3%,17,51.6%,1.25,59.4%,12,56.5%,89,57.3%,3,33.3%,0.91,67.5%,5,38.9%,9,55.6%,27,33.3%
Transition,1.03,8.5%,4,64.3%,1.02,9.2%,4,58.3%,11,63.6%,1,0.0%,1.06,6.1%,0,100.0%,2,100.0%,0,N/A
Attacking Closeouts,1.56,4.0%,2,75.0%,1.78,3.7%,0,71.4%,7,71.4%,0,N/A,1.0,4.8%,2,100.0%,0,N/A,1,100.0%
Catch & Shoot,0.0,2.6%,0,0.0%,0.0,3.3%,0,0.0%,1,0.0%,6,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,1.0,0.7%,0,50.0%,1.0,0.9%,0,50.0%,2,50.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,0.81,5.0%,3,37.5%,1.14,4.5%,1,50.0%,6,50.0%,0,N/A,0.0,6.5%,2,0.0%,0,N/A,2,0.0%
PNR / DHO,1.62,18.2%,2,73.7%,1.4,80.0%,2,67.9%,28,67.9%,0,N/A,2,20.0%,0,90.0%,2,100.0%,8,87.5%
TOTAL,1.2,274,28,55.1%,1.23,77.4%,19,56.5%,144,59.7%,10,10.0%,1.12,22.6%,9,51.0%,13,69.2%,38,44.7%
