,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,1.3,17.1%,2,53.1%,0.89,14.1%,2,43.5%,17,52.9%,6,16.7%,2.16,30.5%,0,77.8%,3,66.7%,6,83.3%
REED,1.44,4.6%,0,70.0%,1.3,4.6%,0,62.5%,8,62.5%,0,N/A,2.0,4.9%,0,100.0%,2,100.0%,0,N/A
TUCKER,1.02,2.2%,0,25.0%,1.02,2.7%,0,25.0%,2,0.0%,2,50.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
NIANG,1.33,2.7%,0,50.0%,0.75,2.2%,0,25.0%,0,N/A,4,25.0%,2.5,4.9%,0,100.0%,1,100.0%,1,100.0%
OTHERS,1.4,4.4%,0,60.0%,1.25,4.3%,0,50.0%,5,40.0%,3,66.7%,2.0,4.9%,0,100.0%,2,100.0%,0,N/A
ISO,1.17,26.1%,5,51.1%,1.24,27.1%,5,55.6%,33,54.5%,3,66.7%,0.78,22.0%,0,33.3%,4,50.0%,5,20.0%
Transition,1.17,19.0%,4,53.3%,1.03,19.0%,3,41.7%,18,55.6%,6,0.0%,1.78,19.2%,1,100.0%,4,100.0%,2,100.0%
Attacking Closeouts,1.01,10.6%,2,50.0%,1.11,10.7%,2,56.2%,15,60.0%,1,0.0%,0.5,9.8%,0,25.0%,1,100.0%,3,0.0%
Catch & Shoot,1.15,11.6%,0,38.5%,1.15,14.1%,0,38.5%,0,N/A,26,38.5%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,1.8%,0,75.0%,1.67,1.6%,0,66.7%,1,100.0%,2,50.0%,3.0,2.4%,0,100.0%,0,N/A,1,100.0%
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,0.4%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,2.4%,0,0.0%,0,N/A,1,0.0%
PNR / DHO,1.33,30.7%,2,54.8%,1.02,73.9%,2,44.7%,32,50.0%,15,33.3%,2,26.1%,0,86.7%,8,87.5%,7,85.7%
TOTAL,1.21,225,13,51.1%,1.12,81.8%,12,47.4%,99,54.5%,53,34.0%,1.59,18.2%,1,66.7%,17,82.4%,19,52.6%
