,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ADAMS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
JACKSON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
CLARKE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
TILLMAN,0.0,18.2%,0,0.0%,0.0,18.2%,0,0.0%,2,0.0%,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
ISO,0.0,18.2%,0,0.0%,0.0,18.2%,0,0.0%,0,N/A,2,0.0%,N/A,N/A,0,N/A,0,N/A,0,N/A
Transition,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.67,27.3%,1,50.0%,0.67,27.3%,1,50.0%,2,50.0%,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,18.2%,0,50.0%,1.5,18.2%,0,50.0%,0,N/A,2,50.0%,N/A,N/A,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.5,18.2%,1,100.0%,1.5,18.2%,1,100.0%,0,N/A,1,100.0%,N/A,N/A,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A
PNR / DHO,0.0,18.2%,0,0.0%,0.0,100.0%,0,0.0%,2,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TOTAL,0.73,11,2,33.3%,0.73,100.0%,2,33.3%,4,25.0%,5,40.0%,nan,0.0%,0,nan%,0,nan%,0,nan%
