,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.24,19.7%,60.0%,1.39,18.6%,55.6%,7,42.9%,2,100.0%,0.67,25.0%,100.0%,1,100.0%,0,N/A
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,0.0,1.4%,0.0%,0.0,1.7%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
DINWIDDIE,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,1.0,2.9%,50.0%,2.0,1.7%,100.0%,1,100.0%,0,N/A,0.0,8.3%,0.0%,0,N/A,1,0.0%
ISO,1.75,5.7%,75.0%,1.33,5.2%,66.7%,2,100.0%,1,0.0%,3.0,8.3%,100.0%,0,N/A,1,100.0%
Transition,1.12,23.0%,45.5%,0.99,22.6%,37.5%,6,33.3%,2,50.0%,1.67,25.0%,66.7%,2,50.0%,1,100.0%
Attacking Closeouts,1.84,14.7%,77.8%,1.74,10.9%,80.0%,5,80.0%,0,N/A,2.0,33.3%,75.0%,1,100.0%,3,66.7%
Catch & Shoot,0.86,30.0%,28.6%,0.86,36.2%,28.6%,0,N/A,21,28.6%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.9%,0.0%,0.0,3.4%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.19,22.9%,53.8%,1.42,75.0%,54.5%,8,50.0%,3,66.7%,0,25.0%,50.0%,1,100.0%,1,0.0%
TOTAL,1.15,70,46.7%,1.08,82.9%,42.0%,21,57.1%,29,31.0%,1.5,17.1%,70.0%,4,75.0%,6,66.7%
