,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,N/A,N/A,2.0,N/A,N/A,N/A,0.0,2.25,3.0,N/A,N/A,2.0,1.89
% of Poss.,0.0%,0.0%,0.0%,13.3%,0.0%,0.0%,0.0%,13.3%,46.7%,26.7%,0.0%,0.0%,13.3%,15
Total FG%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,0.0%,75.0%,100.0%,N/A,N/A,100.0%,66.7%
Shooting PPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,2.25,3.0,N/A,N/A,nan,1.71
% of Shooting Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.2%,63.6%,18.2%,0.0%,0.0%,0.0% | 0,73.3% | 7
Shooting FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,75.0%,100.0%,N/A,N/A,nan%,57.1%
Shooting 2pt Att.,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,nan%,0.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,4,1,0,0,0,5
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.0%,100.0%,N/A,N/A,nan%,80.0%
Passing PPP,N/A,N/A,N/A,2.0,N/A,N/A,N/A,N/A,N/A,3.0,N/A,N/A,2.0,2.5
% of Passing Poss.,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,100.0% | 1,26.7% | 2
Passing FG%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,100.0%,100.0%
Passing 2pt Att.,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Passing 2pt FG%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,N/A,nan%,100.0%
