Shot Type,MURRAY,KCP,PORTER,BROWN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
2FGA,3,0,0,0,0,2,1,0,0,0,0,0
2FGM,3,0,0,0,0,1,1,0,0,0,0,0
2FTA,0,0,0,0,0,0,0,0,0,0,0,2
2FTM,0,0,0,0,0,0,0,0,0,0,0,2
2TO,0,0,0,0,0,2,0,0,0,0,0,0
3FGA,0,0,0,0,0,0,0,0,1,0,0,0
3FGM,0,0,0,0,0,0,0,0,0,0,0,0
3FTA,0,0,0,0,0,0,0,0,0,0,0,0
3FTM,0,0,0,0,0,0,0,0,0,0,0,0
3TO,0,0,1,0,0,0,0,0,0,0,0,0
2FGA,0,0,0,0,0,4,4,1,0,0,0,1
2FGM,0,0,0,0,0,3,3,0,0,0,0,0
2FTA,0,0,0,0,0,2,0,0,0,0,0,0
2FTM,0,0,0,0,0,2,0,0,0,0,0,0
2TO,1,0,0,0,0,0,0,0,0,0,0,0
3FGA,0,0,1,0,0,5,2,0,0,0,0,0
3FGM,0,0,0,0,0,3,1,0,0,0,0,0
3FTA,0,0,0,0,0,0,0,0,0,0,0,0
3FTM,0,0,0,0,0,0,0,0,0,0,0,0
3TO,0,0,0,0,0,0,0,0,0,0,0,0
