,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.74,31.3%,66.7%,2.08,18.0%,100.0%,1,100.0%,0,N/A,1.5,66.7%,50.0%,0,N/A,2,50.0%
FINNEY-SMITH,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
JOHNSON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.25,36.4%,50.0%,1.67,37.5%,66.7%,2,50.0%,1,100.0%,0.0,33.3%,0.0%,0,N/A,1,0.0%
Transition,2.27,8.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,2.27,29.3%,N/A,0,N/A,0,N/A
Attacking Closeouts,1.33,27.3%,66.7%,1.33,37.5%,66.7%,2,100.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,9.1%,0.0%,0.0,12.5%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.0,27.3%,66.7%,3.0,33.3%,100.0%,1,100.0%,0,N/A,2,66.7%,50.0%,0,N/A,2,50.0%
TOTAL,1.38,11,54.5%,1.42,72.7%,62.5%,5,80.0%,3,33.3%,1.29,27.3%,33.3%,0,nan%,3,33.3%
