,CLAXTON,JOHNSON,SIMMONS,DINWIDDIE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.0,2.0,2.05,N/A,N/A,1.17,1.75,2.13,1.8,1.25,2.0,2.0,1.78,1.55
% of Poss.,4.4%,2.9%,17.6%,0.0%,0.0%,27.9%,11.8%,8.8%,11.8%,8.8%,2.9%,2.9%,25.0%,68
Total FG%,100.0%,100.0%,75.0%,N/A,N/A,60.0%,75.0%,100.0%,60.0%,50.0%,100.0%,100.0%,83.3%,68.8%
Shooting PPP,N/A,2.0,2.66,N/A,N/A,1.38,1.67,2.13,2.25,1.67,2.0,2.0,2.43,1.82
% of Shooting Poss.,0.0%,3.9%,13.7%,0.0%,0.0%,27.5%,11.8%,11.8%,13.7%,9.8%,3.9%,3.9%,52.9% | 2,75.0% | 23
Shooting FG%,N/A,100.0%,100.0%,N/A,N/A,62.5%,66.7%,100.0%,75.0%,66.7%,100.0%,100.0%,100.0%,73.9%
Shooting 2pt Att.,0,1,1,0,0,7,3,1,0,2,1,1,2,17
Shooting 2pt FG%,N/A,100.0%,100.0%,N/A,N/A,71.4%,66.7%,100.0%,N/A,50.0%,100.0%,100.0%,100.0%,76.5%
Shooting 3pt Att.,0,0,0,0,0,1,0,0,4,1,0,0,0,6
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,75.0%,100.0%,N/A,N/A,nan%,66.7%
Passing PPP,1.0,N/A,1.67,N/A,N/A,0.75,2.0,N/A,0.0,0.0,N/A,N/A,1.4,1.0
% of Passing Poss.,17.6%,0.0%,29.4%,0.0%,0.0%,29.4%,11.8%,0.0%,5.9%,5.9%,0.0%,0.0%,47.1% | 4,25.0% | 9
Passing FG%,100.0%,N/A,66.7%,N/A,N/A,50.0%,100.0%,N/A,0.0%,0.0%,N/A,N/A,75.0%,55.6%
Passing 2pt Att.,1,0,2,0,0,0,1,0,0,0,0,0,3,4
Passing 2pt FG%,100.0%,N/A,50.0%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,66.7%,75.0%
Passing 3pt Att.,0,0,1,0,0,2,0,0,1,1,0,0,1,5
Passing 3pt FG%,N/A,N/A,100.0%,N/A,N/A,50.0%,N/A,N/A,0.0%,0.0%,N/A,N/A,100.0%,40.0%
