,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,1.0,11.1%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,1.0,23.1%,100.0%,0,N/A,1,100.0%
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,0.75,14.8%,33.3%,0.0,7.1%,0.0%,0,N/A,1,0.0%,1.0,23.1%,50.0%,0,N/A,2,50.0%
OTHERS,0.0,3.7%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,7.7%,0.0%,0,N/A,1,0.0%
ISO,0.82,18.1%,33.3%,1.39,20.6%,100.0%,1,100.0%,0,N/A,0.0,15.4%,0.0%,0,N/A,2,0.0%
Transition,0.0,14.8%,0.0%,0.0,7.1%,0.0%,0,N/A,1,0.0%,0.0,23.1%,0.0%,2,0.0%,1,0.0%
Attacking Closeouts,1.5,7.4%,100.0%,0.0,7.1%,N/A,0,N/A,0,N/A,3.0,7.7%,100.0%,0,N/A,1,100.0%
Catch & Shoot,1.12,29.6%,37.5%,1.12,57.1%,37.5%,0,N/A,8,37.5%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,0.0,3.7%,0.0%,0.0,7.1%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.75,29.6%,40.0%,0.0,12.5%,0.0%,0,nan%,1,0.0%,1,87.5%,50.0%,0,N/A,4,50.0%
TOTAL,0.79,27,31.8%,0.87,51.9%,33.3%,2,50.0%,10,30.0%,0.69,48.1%,30.0%,2,0.0%,8,37.5%
