,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,1.07,40.5%,42.9%,0.83,40.0%,33.3%,2,50.0%,4,25.0%,1.51,41.5%,100.0%,1,100.0%,0,N/A
ISO,0.0,21.7%,0.0%,0.0,20.0%,0.0%,3,0.0%,0,N/A,0.0,25.0%,0.0%,0,N/A,1,0.0%
Transition,1.23,10.6%,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A,1.23,30.5%,50.0%,1,100.0%,1,0.0%
Attacking Closeouts,3.0,4.3%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,12.5%,100.0%,0,N/A,1,100.0%
Catch & Shoot,1.0,26.1%,33.3%,1.0,40.0%,33.3%,0,N/A,6,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.11,39.1%,42.9%,0.83,66.7%,33.3%,2,50.0%,4,25.0%,2,33.3%,100.0%,1,100.0%,0,N/A
TOTAL,0.93,23,35.0%,0.73,65.2%,26.7%,5,20.0%,10,30.0%,1.26,34.8%,60.0%,2,100.0%,3,33.3%
