,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,1.24,23.4%,0,50.0%,1.0,17.6%,0,33.3%,0,N/A,3,33.3%,1.36,28.0%,0,60.0%,5,60.0%,0,N/A
REED,0.0,5.3%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,9.5%,1,0.0%,1,0.0%,0,N/A
NIANG,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TUCKER,1.03,10.2%,1,50.0%,1.39,16.9%,0,50.0%,2,50.0%,0,N/A,0.0,4.8%,1,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.42,26.0%,1,62.5%,1.19,34.6%,0,40.0%,4,25.0%,1,100.0%,1.75,19.0%,1,100.0%,2,100.0%,1,100.0%
Transition,0.8,23.1%,0,28.6%,1.7,10.4%,0,N/A,0,N/A,0,N/A,0.57,33.3%,0,28.6%,4,50.0%,3,0.0%
Attacking Closeouts,1.5,5.3%,0,50.0%,1.5,11.8%,0,50.0%,1,0.0%,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,7.9%,0,33.3%,0.0,11.8%,0,0.0%,0,N/A,2,0.0%,3.0,4.8%,0,100.0%,0,N/A,1,100.0%
Off Ball Screens,3.0,2.6%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,3.0,4.8%,0,100.0%,0,N/A,1,100.0%
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.15,34.2%,2,45.5%,1.4,38.5%,0,40.0%,2,50.0%,3,33.3%,1,61.5%,2,50.0%,6,50.0%,0,N/A
TOTAL,1.14,38,3,46.9%,1.14,44.7%,0,35.7%,7,28.6%,7,42.9%,1.14,55.3%,3,55.6%,12,58.3%,6,50.0%
