,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
EMBIID,1.15,35.4%,3,71.4%,1.74,22.2%,0,50.0%,1,0.0%,1,100.0%,0.98,42.5%,3,80.0%,5,80.0%,0,N/A
REED,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NIANG,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TUCKER,0.0,2.7%,0,0.0%,0.0,7.7%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,0.0,8.1%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,12.5%,1,0.0%,1,0.0%,1,0.0%
ISO,1.53,31.8%,1,66.7%,1.91,44.3%,0,75.0%,3,66.7%,1,100.0%,1.17,25.0%,1,60.0%,2,100.0%,3,33.3%
Transition,1.64,13.2%,0,75.0%,3.0,7.7%,0,100.0%,0,N/A,1,100.0%,1.29,16.2%,0,66.7%,3,66.7%,0,N/A
Attacking Closeouts,0.0,2.7%,1,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,4.2%,1,N/A,0,N/A,0,N/A
Catch & Shoot,2.0,8.1%,0,66.7%,2.0,23.1%,0,66.7%,0,N/A,3,66.7%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.94,43.2%,4,50.0%,1.67,18.8%,0,33.3%,1,0.0%,2,50.0%,1,81.2%,4,57.1%,6,66.7%,1,0.0%
TOTAL,1.25,37,6,61.5%,1.83,35.1%,0,63.6%,4,50.0%,7,71.4%,0.91,64.9%,6,60.0%,11,72.7%,4,25.0%
