,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ADAMS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
JACKSON,0.0,7.1%,0,0.0%,0.0,8.3%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
CLARKE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
TILLMAN,2.0,7.1%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,50.0%,0,100.0%,1,100.0%,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,14.3%,0,0.0%,0.0,16.7%,0,0.0%,2,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,2.14,50.0%,0,71.4%,2.14,58.3%,0,71.4%,0,N/A,7,71.4%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,3.0,14.3%,0,100.0%,3.0,8.3%,0,100.0%,0,N/A,1,100.0%,3.0,50.0%,0,100.0%,0,N/A,1,100.0%
Cutting,0.0,7.1%,0,0.0%,0.0,8.3%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.0,14.3%,0,50.0%,0.0,50.0%,0,0.0%,0,nan%,1,0.0%,2,50.0%,0,100.0%,1,100.0%,0,N/A
TOTAL,1.64,14,0,57.1%,1.5,85.7%,0,50.0%,3,0.0%,9,66.7%,2.5,14.3%,0,100.0%,1,100.0%,1,100.0%
