,ALLEN,MOBLEY,MITCHELL,OSMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,2.0,3.0,N/A,N/A,N/A,2.0,1.67,1.33,0.0,N/A,N/A,N/A,1.54
% of Poss.,8.7%,8.7%,0.0%,0.0%,0.0%,26.1%,26.1%,21.7%,8.7%,0.0%,0.0%,0.0%,23
Total FG%,100.0%,100.0%,N/A,N/A,N/A,100.0%,66.7%,100.0%,0.0%,N/A,N/A,N/A,75.0%
Shooting PPP,N/A,N/A,N/A,N/A,N/A,2.0,2.0,2.0,0.0,N/A,N/A,N/A,1.2
% of Shooting Poss.,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,25.0%,0.0%,0.0%,0.0%,34.8% | 5
Shooting FG%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%,0.0%,N/A,N/A,N/A,60.0%
Shooting 2pt Att.,0,0,0,0,0,1,1,1,0,0,0,0,3
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%,N/A,N/A,N/A,N/A,100.0%
Shooting 3pt Att.,0,0,0,0,0,0,0,0,2,0,0,0,2
Shooting 3pt FG%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,0.0%
Passing PPP,2.0,3.0,N/A,N/A,N/A,2.0,1.5,1.0,N/A,N/A,N/A,N/A,1.75
% of Passing Poss.,13.3%,13.3%,0.0%,0.0%,0.0%,26.7%,26.7%,20.0%,0.0%,0.0%,0.0%,0.0%,65.2% | 7
Passing FG%,100.0%,100.0%,N/A,N/A,N/A,100.0%,50.0%,100.0%,N/A,N/A,N/A,N/A,85.7%
Passing 2pt Att.,1,0,0,0,0,2,1,1,0,0,0,0,5
Passing 2pt FG%,100.0%,N/A,N/A,N/A,N/A,100.0%,100.0%,100.0%,N/A,N/A,N/A,N/A,100.0%
Passing 3pt Att.,0,1,0,0,0,0,1,0,0,0,0,0,2
Passing 3pt FG%,N/A,100.0%,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%
