,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,0.0,16.7%,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,100.0%,0.0%,0,N/A,1,0.0%
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
JOHNSON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.0,33.3%,0.0%,0.0,40.0%,0.0%,2,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,16.7%,N/A,0.0,20.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,33.3%,0.0%,0.0,40.0%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.0,16.7%,0.0%,N/A,0.0%,nan%,0,nan%,0,N/A,0,100.0%,0.0%,0,N/A,1,0.0%
TOTAL,0.0,6,0.0%,0.0,83.3%,0.0%,2,0.0%,2,0.0%,0.0,16.7%,0.0%,0,nan%,1,0.0%
