,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HARRIS,2.11,13.8%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.11,17.5%,100.0%,0,N/A,2,100.0%
BRIDGES,1.67,12.5%,66.7%,1.0,40.0%,50.0%,2,50.0%,0,N/A,3.0,5.3%,100.0%,1,100.0%,0,N/A
JOHNSON,1.5,8.3%,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A,1.5,10.5%,50.0%,0,N/A,2,50.0%
OTHERS,3.0,8.3%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,10.5%,100.0%,0,N/A,2,100.0%
ISO,1.0,20.8%,40.0%,1.0,40.0%,50.0%,2,50.0%,0,N/A,1.0,15.8%,33.3%,1,0.0%,2,50.0%
Transition,1.64,20.3%,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A,1.64,25.7%,50.0%,1,100.0%,3,33.3%
Attacking Closeouts,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,8.3%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,10.5%,N/A,0,N/A,0,N/A
Cutting,1.0,8.3%,50.0%,2.0,20.0%,100.0%,1,100.0%,0,N/A,0.0,5.3%,0.0%,0,N/A,1,0.0%
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.1,41.7%,77.8%,1.0,20.0%,50.0%,2,50.0%,0,N/A,2,80.0%,85.7%,1,100.0%,6,83.3%
TOTAL,1.49,24,60.0%,1.2,20.8%,60.0%,5,60.0%,0,N/A,1.56,79.2%,60.0%,3,66.7%,12,58.3%
