,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.24,25.0%,60.0%,1.39,23.4%,55.6%,7,42.9%,2,100.0%,0.67,33.3%,100.0%,1,100.0%,0,N/A
SIMMONS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,0.0,1.8%,0.0%,0.0,2.2%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
DINWIDDIE,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,2.0,1.8%,100.0%,2.0,2.2%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,2.33,5.5%,100.0%,2.0,4.3%,100.0%,2,100.0%,0,N/A,3.0,11.1%,100.0%,0,N/A,1,100.0%
Transition,0.94,19.3%,33.3%,0.93,18.8%,25.0%,2,0.0%,2,50.0%,1.0,22.2%,50.0%,2,50.0%,0,N/A
Attacking Closeouts,1.65,14.3%,71.4%,1.64,10.6%,75.0%,4,75.0%,0,N/A,1.67,33.3%,66.7%,1,100.0%,2,50.0%
Catch & Shoot,0.71,30.9%,23.5%,0.71,37.0%,23.5%,0,N/A,17,23.5%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.8%,0.0%,0.0,2.2%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.27,27.3%,58.3%,1.42,80.0%,54.5%,8,50.0%,3,66.7%,1,20.0%,100.0%,1,100.0%,0,N/A
TOTAL,1.1,55,45.7%,1.06,83.6%,41.0%,16,56.2%,23,30.4%,1.33,16.4%,71.4%,4,75.0%,3,66.7%
