,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.12,24.2%,68.4%,1.25,24.1%,64.7%,17,64.7%,0,N/A,0.77,24.2%,100.0%,2,100.0%,0,N/A
JOHNSON,2.5,1.7%,100.0%,2.5,2.3%,100.0%,1,100.0%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
SIMMONS,2.05,4.1%,75.0%,2.66,2.2%,100.0%,1,100.0%,0,N/A,1.67,9.4%,66.7%,2,50.0%,1,100.0%
FINNEY-SMITH,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,1.2,16.9%,55.6%,1.31,18.6%,56.2%,13,53.8%,3,66.7%,0.75,12.5%,50.0%,0,N/A,2,50.0%
Transition,1.64,16.0%,66.7%,1.75,12.7%,70.0%,10,70.0%,0,N/A,1.5,25.0%,62.5%,4,75.0%,4,50.0%
Attacking Closeouts,0.78,10.8%,27.3%,0.68,10.2%,14.3%,3,33.3%,4,0.0%,1.0,12.5%,50.0%,2,100.0%,2,0.0%
Catch & Shoot,1.69,13.6%,56.2%,1.8,17.4%,60.0%,1,0.0%,14,64.3%,0.0,3.1%,0.0%,0,N/A,1,0.0%
Off Ball Screens,1.26,7.4%,57.1%,1.22,6.7%,50.0%,3,33.3%,1,100.0%,1.33,9.4%,66.7%,2,100.0%,1,0.0%
Cutting,2.0,2.5%,100.0%,2.0,3.5%,100.0%,3,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,3.4%,50.0%,2.0,2.3%,100.0%,2,100.0%,0,N/A,0.0,6.2%,0.0%,0,N/A,2,0.0%
PNR / DHO,1.38,28.8%,72.0%,1.5,70.6%,70.0%,19,68.4%,1,100.0%,1,29.4%,80.0%,4,75.0%,1,100.0%
TOTAL,1.35,118,59.8%,1.46,72.9%,61.0%,54,63.0%,23,56.5%,1.04,27.1%,56.0%,12,83.3%,13,30.8%
