,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,0.0,1.0,2.33,0.0,N/A,0.4,1.33,0.0,0.0,N/A,0.0,1.29,0.83
% of Poss.,0.0%,3.2%,9.7%,19.4%,3.2%,0.0%,19.4%,29.0%,6.5%,6.5%,0.0%,3.2%,35.5%,31
Total FG%,N/A,0.0%,50.0%,100.0%,0.0%,N/A,20.0%,60.0%,0.0%,0.0%,N/A,0.0%,57.1%,36.4%
Shooting PPP,N/A,N/A,2.0,N/A,0.0,N/A,0.4,1.67,0.0,0.0,N/A,N/A,1.0,0.69
% of Shooting Poss.,0.0%,0.0%,11.8%,0.0%,5.9%,0.0%,35.3%,29.4%,11.8%,5.9%,0.0%,0.0%,27.3% | 2,54.8% | 13
Shooting FG%,N/A,N/A,100.0%,N/A,0.0%,N/A,20.0%,66.7%,0.0%,0.0%,N/A,N/A,50.0%,30.8%
Shooting 2pt Att.,0,0,1,0,0,0,4,1,0,0,0,0,1,6
Shooting 2pt FG%,N/A,N/A,100.0%,N/A,N/A,N/A,25.0%,100.0%,N/A,N/A,N/A,N/A,100.0%,50.0%
Shooting 3pt Att.,0,0,0,0,1,0,1,2,2,1,0,0,1,7
Shooting 3pt FG%,N/A,N/A,N/A,N/A,0.0%,N/A,0.0%,50.0%,0.0%,0.0%,N/A,N/A,0.0%,14.3%
Passing PPP,N/A,0.0,0.0,2.33,N/A,N/A,N/A,1.0,N/A,0.0,N/A,0.0,1.4,1.0
% of Passing Poss.,0.0%,7.1%,7.1%,42.9%,0.0%,0.0%,0.0%,28.6%,0.0%,7.1%,0.0%,7.1%,72.7% | 5,45.2% | 9
Passing FG%,N/A,0.0%,0.0%,100.0%,N/A,N/A,N/A,50.0%,N/A,0.0%,N/A,0.0%,60.0%,44.4%
Passing 2pt Att.,0,0,0,2,0,0,0,0,0,0,0,0,2,2
Passing 2pt FG%,N/A,N/A,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%,100.0%
Passing 3pt Att.,0,1,1,1,0,0,0,2,0,1,0,1,3,7
Passing 3pt FG%,N/A,0.0%,0.0%,100.0%,N/A,N/A,N/A,50.0%,N/A,0.0%,N/A,0.0%,33.3%,28.6%
