,ADAMS,JACKSON,CLARKE,TILLMAN,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,N/A,1.06,2.27,0.71,N/A,0.4,0.51,0.0,N/A,N/A,N/A,N/A,0.8,0.67
% of Poss.,0.0%,11.1%,8.9%,73.3%,0.0%,13.3%,20.0%,2.2%,0.0%,0.0%,0.0%,0.0%,93.3%,45
Total FG%,N/A,0.0%,N/A,25.0%,N/A,25.0%,25.0%,0.0%,N/A,N/A,N/A,N/A,23.5%,23.1%
Shooting PPP,N/A,N/A,2.27,0.68,N/A,0.0,0.77,N/A,N/A,N/A,N/A,N/A,0.77,0.67
% of Shooting Poss.,0.0%,0.0%,13.6%,88.6%,0.0%,10.2%,23.8%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4% | 11,65.2% | 16
Shooting FG%,N/A,N/A,N/A,18.2%,N/A,0.0%,50.0%,N/A,N/A,N/A,N/A,N/A,18.2%,18.8%
Shooting 2pt Att.,0,0,0,9,0,3,2,0,0,0,0,0,9,14
Shooting 2pt FG%,N/A,N/A,N/A,22.2%,N/A,0.0%,50.0%,N/A,N/A,N/A,N/A,N/A,22.2%,21.4%
Shooting 3pt Att.,0,0,0,2,0,0,0,0,0,0,0,0,2,2
Shooting 3pt FG%,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%
Passing PPP,N/A,1.06,N/A,0.8,N/A,1.0,0.0,0.0,N/A,N/A,N/A,N/A,0.87,0.67
% of Passing Poss.,0.0%,31.7%,0.0%,44.4%,0.0%,19.0%,12.7%,6.3%,0.0%,0.0%,0.0%,0.0%,28.6% | 6,35.0% | 10
Passing FG%,N/A,0.0%,N/A,40.0%,N/A,100.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,33.3%,30.0%
Passing 2pt Att.,0,0,0,3,0,1,0,1,0,0,0,0,3,5
Passing 2pt FG%,N/A,N/A,N/A,66.7%,N/A,100.0%,N/A,0.0%,N/A,N/A,N/A,N/A,66.7%,60.0%
Passing 3pt Att.,0,1,0,2,0,0,2,0,0,0,0,0,3,5
Passing 3pt FG%,N/A,0.0%,N/A,0.0%,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,0.0%,0.0%
