,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,22.2%,0,0.0%,0.0,14.3%,0.0%,0,N/A,1,0.0%,0.0,50.0%,0.0%,0,N/A,1,0.0%
DHO Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISOLATION,0.0,22.2%,0,0.0%,0.0,28.6%,0.0%,1,0.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
TRANSITION,1.06,20.9%,1,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,1.06,94.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,2.0,11.1%,0,100.0%,2.0,14.3%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,3.0,11.1%,0,100.0%,3.0,14.3%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,11.1%,0,100.0%,2.0,14.3%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.0,11.1%,0,100.0%,2.0,14.3%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TOTAL,1.11,9,11.1%,50.0%,1.29,77.8%,57.1%,4,75.0%,3,33.3%,0.69,22.2%,0.0%,0,nan%,1,0.0%
