,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ALLEN,2.27,6.8%,N/A,2.27,11.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
MOBLEY,1.23,18.8%,50.0%,0.0,12.5%,0.0%,1,0.0%,0,N/A,2.08,28.8%,100.0%,1,100.0%,0,N/A
MITCHELL,3.0,7.7%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,20.0%,100.0%,0,N/A,1,100.0%
OSMAN,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.75,30.8%,33.3%,0.0,25.0%,0.0%,1,0.0%,0,N/A,1.5,40.0%,50.0%,0,N/A,2,50.0%
Transition,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,3.0,7.7%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,20.0%,100.0%,0,N/A,1,100.0%
Catch & Shoot,1.0,23.1%,33.3%,1.0,37.5%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.0,7.7%,100.0%,2.0,12.5%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,7.7%,0.0%,0.0,12.5%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.67,23.1%,66.7%,2.0,33.3%,0.0%,1,0.0%,0,N/A,3,66.7%,100.0%,1,100.0%,1,100.0%
TOTAL,1.33,13,50.0%,0.79,61.5%,28.6%,4,25.0%,3,33.3%,2.21,38.5%,80.0%,1,100.0%,4,75.0%
